category_id,category_name,category_name_english
1,perfumaria,perfumery
2,artes,art
3,esporte_lazer,sports_leisure
4,bebes,baby
5,utilidades_domesticas,housewares
6,instrumentos_musicais,musical_instruments
7,cool_stuff,cool_stuff
8,moveis_decoracao,furniture_decor
9,eletrodomesticos,home_appliances
10,brinquedos,toys
11,cama_mesa_banho,bed_bath_table
12,construcao_ferramentas_seguranca,construction_tools_safety
13,informatica_acessorios,computers_accessories
14,beleza_saude,health_beauty
15,malas_acessorios,luggage_accessories
16,ferramentas_jardim,garden_tools
17,moveis_escritorio,office_furniture
18,automotivo,auto
19,eletronicos,electronics
20,fashion_calcados,fashion_shoes
21,telefonia,telephony
22,papelaria,stationery
23,fashion_bolsas_e_acessorios,fashion_bags_accessories
24,pcs,computers
25,casa_construcao,home_construction
26,relogios_presentes,watches_gifts
27,construcao_ferramentas_construcao,construction_tools_construction
28,pet_shop,pet_shop
29,eletroportateis,small_appliances
30,agro_industria_e_comercio,agro_industry_and_commerce
31,,
32,moveis_sala,furniture_living_room
33,sinalizacao_e_seguranca,signaling_and_security
34,climatizacao,air_conditioning
35,consoles_games,consoles_games
36,livros_interesse_geral,books_general_interest
37,construcao_ferramentas_ferramentas,costruction_tools_tools
38,fashion_underwear_e_moda_praia,fashion_underwear_beach
39,fashion_roupa_masculina,fashion_male_clothing
40,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
41,industria_comercio_e_negocios,industry_commerce_and_business
42,telefonia_fixa,fixed_telephony
43,construcao_ferramentas_iluminacao,construction_tools_lights
44,livros_tecnicos,books_technical
45,eletrodomesticos_2,home_appliances_2
46,artigos_de_festas,party_supplies
47,bebidas,drinks
48,market_place,market_place
49,la_cuisine,la_cuisine
50,construcao_ferramentas_jardim,costruction_tools_garden
51,fashion_roupa_feminina,fashio_female_clothing
52,casa_conforto,home_confort
53,audio,audio
54,alimentos_bebidas,food_drink
55,musica,music
56,alimentos,food
57,tablets_impressao_imagem,tablets_printing_image
58,livros_importados,books_imported
59,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
60,fashion_esporte,fashion_sport
61,artigos_de_natal,christmas_supplies
62,fashion_roupa_infanto_juvenil,fashion_childrens_clothes
63,dvds_blu_ray,dvds_blu_ray
64,artes_e_artesanato,arts_and_craftmanship
65,pc_gamer,
66,moveis_quarto,furniture_bedroom
67,cine_foto,cine_photo
68,fraldas_higiene,diapers_and_hygiene
69,flores,flowers
70,casa_conforto_2,home_comfort_2
71,portateis_cozinha_e_preparadores_de_alimentos,
72,seguros_e_servicos,security_and_services
73,moveis_colchao_e_estofado,furniture_mattress_and_upholstery
74,cds_dvds_musicais,cds_dvds_musicals
